"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 25 04:12:22 UTC 2023","Mon Dec 25 04:13:32 UTC 2023","70044","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Mon Dec 25 04:11:49 UTC 2023","Mon Dec 25 04:11:52 UTC 2023","3465","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Mon Dec 25 03:49:38 UTC 2023","Mon Dec 25 03:49:53 UTC 2023","14819","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Mon Dec 25 02:52:07 UTC 2023","Mon Dec 25 02:52:16 UTC 2023","9118","","6. Company Account","","","","2. Create a Company Account",""
"passed","Mon Dec 25 02:34:39 UTC 2023","Mon Dec 25 02:34:45 UTC 2023","5223","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Dec 25 04:11:52 UTC 2023","Mon Dec 25 04:11:56 UTC 2023","3670","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Mon Dec 25 04:23:02 UTC 2023","Mon Dec 25 04:23:03 UTC 2023","1297","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Mon Dec 25 03:06:46 UTC 2023","Mon Dec 25 03:06:46 UTC 2023","212","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Mon Dec 25 02:40:50 UTC 2023","Mon Dec 25 02:40:53 UTC 2023","2861","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Mon Dec 25 02:42:33 UTC 2023","Mon Dec 25 02:42:50 UTC 2023","17804","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Mon Dec 25 02:28:06 UTC 2023","Mon Dec 25 02:28:28 UTC 2023","21864","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Mon Dec 25 02:49:28 UTC 2023","Mon Dec 25 02:49:39 UTC 2023","11422","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Mon Dec 25 03:48:03 UTC 2023","Mon Dec 25 03:48:05 UTC 2023","2359","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Mon Dec 25 02:28:54 UTC 2023","Mon Dec 25 02:29:04 UTC 2023","9672","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Mon Dec 25 03:51:39 UTC 2023","Mon Dec 25 03:51:48 UTC 2023","9028","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Mon Dec 25 04:22:17 UTC 2023","Mon Dec 25 04:22:27 UTC 2023","10440","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon Dec 25 03:49:53 UTC 2023","Mon Dec 25 03:50:00 UTC 2023","6202","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Mon Dec 25 03:40:58 UTC 2023","Mon Dec 25 03:41:13 UTC 2023","15968","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Mon Dec 25 03:08:50 UTC 2023","Mon Dec 25 03:08:52 UTC 2023","1489","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Mon Dec 25 04:13:42 UTC 2023","Mon Dec 25 04:14:22 UTC 2023","39487","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Mon Dec 25 04:11:19 UTC 2023","Mon Dec 25 04:11:24 UTC 2023","4942","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Mon Dec 25 02:49:57 UTC 2023","Mon Dec 25 02:50:17 UTC 2023","19784","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
